Session ID,Intent,Subintent,reasons,cluster,umap_x,umap_y,umap_z
9,Network-related issue,"['Issue with calls', 'Issue not listed']","User is not satisfied with the response regarding their issue with calls and the fact that their specific issue is not listed, leading to a lack of resolution.",4,12.663121,26.509487,-9.199601
14,Network-related issue,['Not listed'],User is not satisfied with the response regarding their query about claiming unlimited 5G data and decides to end the conversation.,1,12.657112,26.676537,-8.557422
20,Network-related issue,['My issue is not listed here'],"User is not satisfied with the response regarding the issue that is not listed, and decides to end the conversation.",4,12.5968275,26.070248,-9.231495
21,Network-related issue,"['Internet issue', 'Slow browsing']",User is experiencing slow browsing issues and needs support to troubleshoot and improve browsing speed.,3,12.034993,27.277521,-6.360504
22,Network-related issue,"['5G issue', 'Other queries']","User is facing issues with 5G connectivity on their handset, despite it being 5G ready. Troubleshooting steps provided by the bot did not resolve the issue, leading the user to raise a support ticket.",3,12.496916,27.31684,-6.105276
23,Network-related issue,"['Issue with calls', 'Calls disconnection']","User faces frequent call disconnections while moving between locations, indicating network handover issues. The suggested solution didn't work, prompting the user to raise a support ticket for further assistance.",4,13.384825,26.347044,-8.94237
24,Network-related issue,"['Issue with calls', 'My issue is not listed here', 'Deactivation of callertune']",User is not satisfied with the response regarding the deactivation of callertune and wants to raise a support ticket for further assistance.,4,13.115117,26.05356,-8.993559
25,Network-related issue,"['Internet issue', 'Streaming video']","User is facing issues with internet connectivity and video streaming, despite attempting troubleshooting steps, prompting the need to raise a support ticket.",3,12.428165,27.40217,-6.352424
26,Network-related issue,"['Issue with calls', 'International roaming', 'My issue is not listed here']","User has not received the ordered eSIM even after 20 days, prompting the need to create a support ticket for further assistance.",4,13.175016,26.913795,-9.320557
27,Network-related issue,['Stable internet connection'],"User is experiencing instability with their internet connection and has attempted troubleshooting steps without success, leading to the decision to raise a support ticket.",3,12.691681,27.372568,-6.4840508
28,Network-related issue,"['International roaming', 'Making calls issues']","User is facing issues with international roaming and making calls, and the troubleshooting steps provided by the bot did not resolve the problem, hence raising a support ticket.",4,13.072178,26.650848,-9.111378
29,Network-related issue,"['Issue with calls', 'Audio quality']","User is facing problems with audio quality during calls and has already tried troubleshooting steps provided by the bot, but the issue still persists, hence raised a support ticket.",4,13.136618,26.439764,-9.388706
30,Network-related issue,['Unable to send text messages'],"User is unable to send text messages despite following troubleshooting steps, necessitating further assistance.",4,13.344306,26.560352,-9.82824
31,Network-related issue,"['Internet issue', 'Slow browsing']",User is experiencing slow browsing issues and wants personalized assistance to troubleshoot and improve browsing speed.,3,12.34043,26.895447,-6.1576877
32,Network-related issue,"['Internet issue', 'Other Queries']","User is facing trouble with internet connectivity and has other queries, requiring personalized assistance.",3,12.652297,27.68221,-5.835465
33,Others,"['Network-related issue', 'Billing and payment issue', 'Balance, Recharge and validity', 'Plan/pack related issues']",User is not satisfied with the bot's response and wants to talk to an agent for personalized assistance.,2,12.151826,27.361824,-8.171495
34,Network-related issue,"['Issue with calls', 'My issue is not listed here']","User is experiencing network issues specifically related to calls and the issue is not listed in the options provided, requiring personalized assistance.",4,12.8702345,25.818708,-9.39173
35,Network-related issue,['My issue is not listed here'],"User wants to inquire about mobile number portability and postpaid availability, which are not listed options, leading to the need for personalized assistance.",1,12.210733,26.24395,-8.748407
36,Others,['Troubleshooting'],"User is facing issues with the Aerolink app and has tried troubleshooting steps without success, requiring assistance from a live agent.",0,12.223384,26.518715,-6.7003875
37,Network-related issue,['5G issue'],"User is experiencing issues with their 5G connectivity, specifically with intermittent switching to 4G. They require personalized assistance to address this problem.",3,12.31415,27.142614,-5.8414826
38,Network-related issue,"['Internet issue', 'Issue with video calling']","User is experiencing frequent call drops and has tried the suggested solutions, but the issue is not resolved, hence seeking personalized assistance.",4,12.596976,26.220192,-9.746935
